105.89,106.54, 12.24,12.30
150.22,149.14, 42.01,41.64
-43.69,167.37, -10.56,75.33
-122.28,173.87, -56.64,104.21
-156.37,176.61, -93.27,126.42
-162.01,177.30, -115.59,142.23
-170.53,178.12, -134.51,153.63
36.51,178.97, -37.32,161.78
117.64,178.66, 28.65,167.05
-60.66,178.66, -37.18,170.73
76.58,-35.37, 27.83,60.28
133.07,89.72, 73.14,95.95
-54.09,141.33, -6.55,121.16
-115.25,-47.98, -53.97,27.37
-153.15,86.79, -93.58,74.75
-158.69,142.03, -115.56,107.90
38.43,163.76, -24.41,130.38
114.23,173.39, 36.05,146.21
153.71,177.21, 82.13,156.96
160.13,-31.64, 108.60,52.30
162.57,90.96, 126.55,90.64
-41.38,141.03, 29.72,117.32
-108.70,-49.92, -28.79,23.22
-150.69,86.28, -76.72,72.16
-155.23,141.45, -102.86,105.98
43.96,163.15, -13.66,128.90
119.13,172.74, 44.83,145.03
147.69,-37.29, 83.95,42.08
166.16,-122.27, 114.40,-28.75
164.23,55.35, 130.20,35.67
-32.83,-85.49, 36.31,-33.33
-102.94,-139.84, -23.12,-79.37
-132.40,51.24, -64.45, 2.71
-151.09,127.43, -96.31,58.68
42.84,-56.35, -10.58,-17.44
110.27,82.52, 42.53,43.94
151.74,140.49, 86.81,87.42
160.99,163.51, 112.90,116.83
-35.52,-40.40, 23.37,22.65
-103.37,91.27, -31.90,72.76
-146.14,142.88, -77.87,106.30
-156.94,164.10, -105.78,129.50
39.61,172.58, -17.40,145.35
109.64,173.83, 38.34,155.00
-63.99,176.87, -31.45,162.96
71.86,176.18, 30.65,167.34
136.07,178.19, 78.35,171.56
-40.86,-36.35,  2.52,59.20
-123.01,92.11, -55.38,97.12
-139.92,-70.49, -86.36, 8.50
-159.17,79.56, -114.18,63.14
34.00,138.33, -25.63,99.77
102.46,-52.67, 30.16, 9.91
127.62,85.20, 67.05,63.31
154.78,140.73, 101.60,100.23
-38.26,-50.69, 15.28,10.25
-106.07,-128.18, -38.38,-51.45
-149.74,54.96, -83.82,21.50
-156.64,-84.95, -109.11,-43.08
45.26,-141.58, -16.59,-87.53
111.51,47.08, 38.85,-4.54
152.65,126.33, 84.59,54.24
156.98,156.78, 109.24,93.67
-44.04,169.89, 17.16,121.17
-116.62,-39.81, -41.49,24.45
-149.34,90.71, -83.47,73.54
-149.88,-70.81, -105.42,-7.68
-159.85,-135.13, -125.63,-62.99
35.02,51.69, -32.61,13.37
103.54,124.81, 25.89,64.70
124.44,150.15, 62.37,97.70
154.08,-46.91, 98.70, 8.87
-39.12,-125.99, 13.30,-51.97
-110.14,-156.30, -41.70,-92.87
-151.52,44.25, -86.26,-6.47
-159.45,123.97, -112.03,52.37
-168.60,-58.41, -132.87,-22.65
32.59,83.02, -36.91,41.39
105.03,139.88, 24.36,85.32
135.88,-50.50, 67.24, 0.67
156.93,-126.88, 101.23,-57.33
-44.28,55.50, 11.63,17.63
-114.17,128.88, -43.93,69.12
-152.34,158.21, -87.43,104.31
-153.57,-43.81, -109.59,13.29
-164.55,90.23, -130.36,66.76
32.79,143.28, -35.91,103.01
99.39,-50.42, 22.00,12.07
138.01,86.75, 68.02,65.44
157.92,-73.20, 101.90,-13.79
-37.17,-137.18, 15.55,-68.04
-105.67,-162.38, -38.28,-104.89
-149.59,41.96, -83.96,-14.45
-155.70,-90.02, -109.00,-67.79
-163.32,-143.08, -128.89,-104.40
36.21,49.00, -33.10,-14.29
105.07,123.35, 26.42,45.94
149.79,157.09, 76.34,89.27
162.51,169.86, 107.60,118.45
170.62,174.59, 130.60,138.17
-28.46,-37.00, 37.23,36.55
-104.29,90.13, -24.59,81.22
-131.00,143.25, -64.94,113.04
-159.15,164.23, -101.91,134.67
33.44,170.46, -17.18,148.27
119.05,-39.14, 45.42,43.08
134.31,90.73, 77.93,86.50
154.48,143.09, 107.73,116.42
-36.69,-50.80, 20.50,20.83
-105.97,87.53, -35.24,72.07
-149.45,141.15, -81.88,106.20
-153.62,164.06, -106.62,130.34
-167.55,173.36, -130.14,146.92
30.40,176.27, -36.26,157.80
115.03,-33.70, 30.85,51.27
147.55,-119.65, 76.00,-22.76
161.93,58.77, 107.64,41.56
-37.47,129.50, 18.32,85.29
-107.84,-56.23, -37.64,-0.57
-150.33,84.02, -83.64,56.73
-157.15,-73.87, -109.56,-19.74
44.77,-137.55, -16.67,-72.31
112.57,51.26, 39.87, 7.54
151.46,128.25, 84.90,63.00
159.45,158.63, 111.56,100.68
165.41,170.11, 131.28,126.09
-36.32,175.75, 34.41,144.02
-108.32,177.61, -27.14,156.06
-150.79,177.43, -76.66,163.81
-158.16,178.71, -105.31,169.84
-168.07,-35.85, -128.65,57.67
27.74,92.85, -36.54,96.91
108.72,-68.99, 27.90, 8.42
134.37,77.77, 68.30,62.23
153.04,137.52, 100.47,99.61
-41.38,162.59, 13.27,125.80
-104.25,-42.34, -38.39,27.27
-138.15,89.69, -78.48,75.89
-156.76,142.43, -108.54,109.10
45.34,164.04, -15.69,132.05
108.33,170.69, 38.18,146.65
150.19,-39.71, 84.05,41.35
160.67,-123.23, 111.97,-30.38
170.27,57.09, 134.00,36.23
-29.88,130.01, 38.53,82.29
-100.50,159.85, -21.68,114.18
-124.73,170.31, -60.62,135.15
-150.82,175.35, -96.10,149.99
45.72,-37.18, -8.25,43.93
107.79,89.49, 42.87,85.97
-64.73,143.25, -29.01,116.40
75.31,165.01, 35.02,137.38
132.49,171.47, 79.44,150.48
-49.79,175.90, -1.34,160.43
-108.51,-36.61, -48.89,51.19
-150.59,91.75, -91.47,92.01
-158.92,-70.64, -115.97, 4.24
35.71,78.83, -25.53,60.28
109.26,137.41, 34.05,97.98
-64.01,161.47, -34.98,124.09
-133.43,172.13, -82.25,142.46
-160.93,176.26, -114.41,154.94
-172.14,177.26, -136.63,163.22
-176.57,177.42, -151.73,168.71
-178.35,178.31, -162.07,172.90
-179.20,178.38, -169.19,175.60
-179.39,178.55, -173.97,177.51
-179.62,178.61, -177.30,178.80
-179.56,178.77, -179.48,179.75
-179.54,178.69, -180.95,180.29
-179.67,178.54, -182.01,180.61
